Observer,Date,Year,Station,GRID,TOT,TDR,T_DR,TSG,Tt,Sf,Hw,Rm,HE,HD,HJ,TMA,TGA,TGO,BAT,CA,TCAL,HAL,PEN,UDO,ACE,AL,AS,RHI,TRO,TBR,SAR,SP,HC,Comments
DR,20220524,2022,BH06,1,2,2,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,X,0,X,0,0,0,0,0,0,0,0,0,"Light green water, light turbidity."
DR,20220524,2022,BH06,2,2,1,2,1,0,0,1,0,0,0,0,1,1,0,0,0,1,X,0,X,0,0,0,0,0,0,0,0,0,
ML,20220524,2022,BH06,3,1,0,1,0.1,0,0,0.1,0,0,0,0,1,1,0.5,X,X,1,X,0,X,0,0,0,0,0,0,0,0,0,
DR,20220524,2022,BH10,1,4,2,3,0,0,0,0,0,0,0,0,3,3,0,0,0,3,X,X,0,0,0,0,0,0,0,0,0,0,Clear water. Light turbidity.
DR,20220524,2022,BH10,2,4,2,3,0,0,0,0,0,0,0,0,3,3,0,0,0,3,X,0,0,X,0,0,0,0,0,0,0,0,
ML,20220524,2022,BH10,3,4,2,4,0,0,0,0,0,0,0,0,4,4,0,0,0,4,X,0,0,1,0,0,0,0,0,0,0,0,
DR,20220613,2022,BH14,1,3,2,3,2,0,2,0,0,0,0,0,2,2,0,0,0,2,X,0,0,0,0,0,0,0,0,0,0,0,Greenish water. Light to moderate turbidity.
DR,20220613,2022,BH14,2,3,2,3,1,0,0.5,0.5,0,0,0,0,3,3,0,0,0,3,X,0,0,0,0,0,0,0,0,0,0,0,
ML,20220613,2022,BH14,3,4,2,3,2,0,0,2,0,0,0,0,3,3,1,0,X,3,X,0,0,X,0,0,0,0,0,0,0,0,
DR,20220613,2022,BH22,1,4,1,4,2,0,2,0,0,0,0,0,3,3,0,0,0,3,X,0,0,0,0,0,0,0,0,0,0.1,0,Greenish water. Moderate turbidity. Moderate epiphytic growth on SAV.
DR,20220613,2022,BH22,2,4,0,4,3,0,3,0,0,0,0,0,3,3,0,0,0,3,X,0,0,0,0,0,0,0,0,0,0,0,
ML,20220613,2022,BH22,3,5,0,5,4,0,4,0,0,0,0,0,3,3,0,0,0,3,X,X,X,X,0,0,0,0,0,0,0,0,
DR,20220613,2022,BH29,1,4,0,4,0.5,0,0,0.5,0,0,0,0,4,4,3,0,0,3,X,0,0,0,0,3,0,0,0,0,0,0,Greenish water. Moderate turbidity.
DR,20220613,2022,BH29,2,4,0,4,0,0,0,0,0,0,0,0,4,4,2,0,0,4,X,0,0,0,0,2,0,0,0,0,0,0,
ML,20220613,2022,BH29,3,5,0,5,1,0,0,1,0,0,0,0,5,5,5,0,0,2,X,0,0,0,0,5,0,0,0,0,0,0,
DR,20220519,2022,BH31,1,4,3,2,2,2,0,0,0,0,0,0,2,2,0,0,0,2,X,X,0,0,0,0,0,0,0,0,0.1,0,SP=Ircinia campana. TDR= Digenea simplex. Clear water.  Light to moderate epiphytic growth on SAV.
DR,20220519,2022,BH31,2,4,2,3,3,3,0,0,0,0,0,0,2,2,0,0,0,2,X,X,X,0,0,0,0,0,0,0,0,0,
ML,20220519,2022,BH31,3,4,1,4,4,0,0,0,0,0,0,0,1,1,0,0,0,1,X,X,X,0,0,0,0,0,0,0,0,0,
DR,20220526,2022,BH34,1,3,0,3,3,0,1,2,0,0,0,0,1,1,0,0,0,1,X,X,0,0,0,1,0,0,0,0,0,0,Greenish water. Moderate turbidity.
DR,20220526,2022,BH34,2,3,0,3,2,0,2,2,0,0,0,0,2,2,1,0,0,1,X,X,0,X,0,1,0,0,0,0,0,0,
ML,20220526,2022,BH34,3,2,0,2,2,0,0,2,0,0,0,0,1,1,0,0.1,0,1.0,X,X,X,X,0,0,0,0,0,0,0.1,0,
DR,20220526,2022,BH35,1,5,0,5,5,5,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,X,0,0,0,0,0,0,0,0,0,0,0,Light turbidity. Clear water. Ligh to moderate epiphytic growth on SAV.
DR,20220526,2022,BH35,2,5,1,5,5,5,0,0,0,0,0,0,1,1,0,0,0,1,X,X,0,0,0,0,0,0,0,0,0,0,
ML,20220526,2022,BH35,3,5,0,5,5,5,0,0,0,0,0,0,1,1,0,0,0,1,X,X,0,0,0,0,0,0,0,0,0.5,0,
DR,20220519,2022,BH36,1,2,0,2,2,2,1,0,0,0,0,0,1,1,0.5,X,0,1,0,X,0,0,0,0,0,0,0,0,0.1,0,Clear water.
DR,20220519,2022,BH36,2,2,2,2,1,1,0,0,0,0,0,0,1,1,0.5,X,0,1,0,X,0,0,0,0,0,0,0,0,0,0,
ML,20220519,2022,BH36,3,3,0,3,3,3,0,0,0,0,0,0,2,2,1,X,X,2,0,X,X,0,0,0,0,0,0,0,1,0.1,
DR,20220518,2022,BH37,1,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,SP=Niphates erecta. Clear water. Light turbidity. Light to moderate epiphytic growth on SAV.
DR,20220518,2022,BH37,2,5,0,5,5,5,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,X,0,0,0,0,0,0,0,0,0,0,0,
ML,20220518,2022,BH37,3,5,0,5,5,5,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,X,0,0,0,0,0,0,0,0,0,0.5,0,
DR,20220518,2022,BH39,1,3,1,3,3,3,0,0,0,0,0,0,1,1,0,0,0,1,X,X,0,0,0,0,0,0,0,0,0,0,"Light Green water, light turbidity. Light to moderate epiphytic growth on SAV."
DR,20220518,2022,BH39,2,4,1,4,4,4,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,X,0,0,0,0,0,0,0,0,0,0,0,
ML,20220518,2022,BH39,3,4,0.5,4,4,4,0,0,0,0,0,0,1,1,1,X,0,1,X,0,0,0,0,0,0,0,0,0,0,0,
GV,20230515,2023,BH06,1,2,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,n
DR,20230515,2023,BH06,2,2,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,n
DR,20230515,2023,BH06,3,2,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,n
GV,20230515,2023,BH10,1,5,3,4,1,0,1,0,0,0,0,0,4,4,0,0,0,4,3,0,0,X,0,0,0,0,0,0,0,0,n
DR,20230515,2023,BH10,2,4,1,4,2,0,2,0,0,0,0,0,3,3,0,0,0,3,3,0,0,X,0,0,0,0,0,0,0,0,n
DR,20230515,2023,BH10,3,5,2,4,2,0,2,0,0,0,0,0,4,4,0,0,0,4,4,0,0,X,0,0,0,0,0,0,0,0,n
ML,20230516,2023,BH14,1,5,0,5,4,0,4,0,0,0,0,0,2,2,1,X,0,2,0.5,0,0,X,0,0,0,0,0,0,0,0,n
DR,20230516,2023,BH14,2,4,2,4,3,0,3,0,0,0,0,0,2,2,0,0,0,2,2,0,0,X,0,0,0,0,0,0,0,0,n
DR,20230516,2023,BH14,3,4,1,4,4,0,4,0,0,0,0,0,1,1,0,0,0,1,1,0,0,X,0,0,0,0,0,0,0,0,n
ML,20230516,2023,BH22,1,3,1,3,2,2,0,0,0,0,0,0,3,3,0,0,0,3,3,0,X,0,0,0,0,0,0,0,0,0,n
DR,20230516,2023,BH22,2,3,0,3,1,0,1,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,n
DR,20230516,2023,BH22,3,3,0,3,2,0,2,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.5,0,n
ML,20230517,2023,BH29,1,5,0,5,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,n
DR,20230517,2023,BH29,2,5,0,5,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,n
DR,20230517,2023,BH29,3,5,0,5,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,n
ML,20230517,2023,BH31,1,5,4,2,2,2,0,0,0,0,0,0,2,2,0,0,0,2,2,X,0,0,0,0,0,2,0,0,1,0,n
DR,20230517,2023,BH31,2,3,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,2,2,X,0,0,0,0,0,0,0,0,0,0,n
DR,20230517,2023,BH31,3,4,3,2,2,2,0,0,0,0,0,0,2,2,0,0,0,2,1,X,0,0,0,0,0,0,0,0,0.5,0,n
ML,20230523,2023,BH34,1,2,0,2,1,1,0,1,0,0,0,0,1,1,1,0,0,1,X,X,0,0,0,1,0,0,0,0,0,0,n
DR,20230523,2023,BH34,2,2,0,2,0.5,0,0,0.5,0,0,0,0,2,2,0,0,0,2,1,0,X,0,0,0,0,0,0,0,0,0,n
DR,20230523,2023,BH34,3,2,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,X,0,0,0,0,0,0,0,0,0,0,n
ML,20230518,2023,BH35,1,5,1,5,5,5,0,0,0,0,0,0,1,1,0,0,0,1,0.5,X,0,0,0,0,0,0,0,0,0,0,n
GV,20230518,2023,BH35,2,5,1,5,5,5,0,0,0,0,0,0,1,1,0,0,0,1,0,X,0,0,0,0,0,0,0,0,0,0,n
GV,20230518,2023,BH35,3,5,1,5,5,5,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,X,0,0,0,0,0,0,0,0,0,0,n
ML,20230522,2023,BH36,1,2,0,2,2,2,0,0,0,0,0,0,1,1,0.5,X,0,1,X,0,X,0,0,0,0,0,0,0,0,0,n
DR,20230522,2023,BH36,2,2,0,2,2,2,0,0,0,0,0,0,2,2,1,X,0,2,0,X,0,0,0,0,0,0,0,0,0.5,0,n
DR,20230522,2023,BH36,3,2,1,2,2,2,0,0,0,0,0,0,1,1,0.5,X,0,1,0,X,0,0,0,0,0,0,0,0,0.5,0,n
GV,20230518,2023,BH37,1,5,0,5,5,5,0,0,0,0,0,0,1,1,0.5,0,X,0.5,X,X,0,0,0,0,0,0,0,0,0.5,0,n
ML,20230518,2023,BH37,2,5,0,5,5,5,0,0,0,0,0,0,2,2,0,0,0,2,X,X,0,0,0,0,0,0,0,0,0,0,n
ML,20230518,2023,BH37,3,5,0,5,5,5,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,n
ML,20230522,2023,BH39,1,4,0,4,3,3,0,0,0,0,0,0,2,2,2,X,0,1,0.1,X,0,0,0,0,0,0,0,0,0,0,n
DR,20230522,2023,BH39,2,2,1,2,2,2,0,1,0,0,0,0,2,2,2,X,0,1,0.5,X,X,0,0,0,0,0,1,X,0,0,n
DR,20230522,2023,BH39,3,2,0,2,2,2,0,0,0,0,0,0,2,2,1,X,0,1,0.5,X,0,X,0,0,0,0,0,0,0,0,n
